商品名称	合约名称	开盘价		最高价		最低价		收盘价		前结算价	结算价		涨跌		涨跌1		Delta		成交量		持仓量		持仓量变化	成交额		行权量		
豆粕		m1707-C-2500	348		350.5		348		348.5		359		347		-10.5		-12		1		44		252		-22		15.38		0		
豆粕		m1707-C-2550	0		0		0		297		309		297		-12		-12		1		0		186		0		0		0		
豆粕		m1707-C-2600	252		254		251		254		259		247		-5		-12		1		44		288		14		11.08		0		
豆粕		m1707-C-2650	201		205.5		198.5		205.5		210.5		198.5		-5		-12		0.96		62		238		22		12.56		0		
豆粕		m1707-C-2700	154		158		152		154.5		164		152		-9.5		-12		0.91		106		308		-2		16.37		0		
豆粕		m1707-C-2750	105.5		112		105.5		110		121		109.5		-11		-11.5		0.81		206		502		18		22.68		0		
豆粕		m1707-C-2800	67.5		74		67		70.5		84		73		-13.5		-11		0.67		454		568		-90		31.93		0		
豆粕		m1707-C-2850	41		43		37.5		41		54		45		-13		-9		0.5		496		1,050		-156		20.28		0		
豆粕		m1707-C-2900	21.5		24		21		22.5		32		25		-9.5		-7		0.33		802		1,958		384		18.06		0		
豆粕		m1707-C-2950	11.5		13		11.5		11.5		17.5		12.5		-6		-5		0.2		88		1,406		2		1.06		0		
豆粕		m1707-C-3000	7.5		7.5		6.5		7		8.5		5.5		-1.5		-3		0.1		94		854		-26		0.67		0		
豆粕		m1707-C-3050	5		5.5		4.5		5.5		3.5		2		2		-1.5		0.04		206		908		106		1.09		0		
豆粕		m1707-C-3100	3		3.5		3		3.5		1.5		0.5		2		-1		0.01		78		922		0		0.27		0		
豆粕		m1707-C-3150	1.5		1.5		1.5		1.5		0.5		0.5		1		0		0.01		30		126		4		0.05		0		
豆粕		m1707-P-2500	1		1.5		0.5		0.5		0.5		0.5		0		0		-0.01		32		658		26		0.04		0		
豆粕		m1707-P-2550	1.5		1.5		1		1		0.5		0.5		0.5		0		-0.01		46		798		-4		0.06		0		
豆粕		m1707-P-2600	1.5		2		1.5		1.5		0.5		0.5		1		0		-0.01		28		872		4		0.05		0		
豆粕		m1707-P-2650	3.5		3.5		2.5		2.5		2		1.5		0.5		-0.5		-0.03		78		1,324		-20		0.26		0		
豆粕		m1707-P-2700	6.5		7		6		6		5		5		1		0		-0.09		26		1,178		0		0.17		0		
豆粕		m1707-P-2750	12		12		10.5		10.5		12.5		12.5		-2		0		-0.19		90		1,568		4		0.97		0		
豆粕		m1707-P-2800	22		23		20		22		25		26		-3		1		-0.33		164		1,570		-62		3.56		0		
豆粕		m1707-P-2850	41		43.5		39		39.5		45		48		-5.5		3		-0.5		358		1,412		-16		14.81		0		
豆粕		m1707-P-2900	72		75.5		70.5		71		73		78		-2		5		-0.67		100		528		18		7.22		0		
豆粕		m1707-P-2950	111.5		115.5		110		115.5		108.5		115.5		7		7		-0.8		218		434		-36		24.54		0		
豆粕		m1707-P-3000	156.5		162		155.5		162		149.5		158.5		12.5		9		-0.9		46		248		10		7.31		0		
豆粕		m1707-P-3050	203.5		210.5		202		210.5		194.5		205		16		10.5		-0.96		60		384		4		12.36		0		
豆粕		m1707-P-3100	255.5		258.5		252.5		258.5		242.5		253.5		16		11		-1		82		144		-30		20.94		0		
豆粕		m1707-P-3150	302.5		307.5		302.5		307.5		291.5		303.5		16		12		-0.9		24		72		-20		7.36		0		
豆粕		m1708-C-2500	0		0		0		335.5		376		335.5		-40.5		-40.5		0.99		0		44		0		0		0		
豆粕		m1708-C-2550	0		0		0		287		327		287		-40		-40		0.96		0		20		0		0		0		
豆粕		m1708-C-2600	0		0		0		240.5		279.5		240.5		-39		-39		0.92		0		28		0		0		0		
豆粕		m1708-C-2650	0		0		0		196		233.5		196		-37.5		-37.5		0.87		0		20		0		0		0		
豆粕		m1708-C-2700	0		0		0		155		190		155		-35		-35		0.8		0		100		0		0		0		
豆粕		m1708-C-2750	0		0		0		119		150.5		119		-31.5		-31.5		0.7		0		174		0		0		0		
豆粕		m1708-C-2800	0		0		0		87.5		115.5		87.5		-28		-28		0.59		0		324		0		0		0		
豆粕		m1708-C-2850	53		57		53		56.5		85.5		62		-29		-23.5		0.48		60		398		20		3.33		0		
豆粕		m1708-C-2900	0		0		0		42.5		61		42.5		-18.5		-18.5		0.37		0		222		0		0		0		
豆粕		m1708-C-2950	0		0		0		27.5		42		27.5		-14.5		-14.5		0.27		0		210		0		0		0		
豆粕		m1708-C-3000	19		19		17.5		17.5		27.5		17		-10		-10.5		0.18		40		274		20		0.73		0		
豆粕		m1708-C-3050	13		13		11		12		17.5		10		-5.5		-7.5		0.12		80		320		20		0.95		0		
豆粕		m1708-C-3100	8.5		8.5		8.5		8.5		10.5		5.5		-2		-5		0.07		20		400		20		0.17		0		
豆粕		m1708-P-2500	1.5		1.5		1.5		1.5		0.5		1		1		0.5		-0.02		20		82		0		0.03		0		
豆粕		m1708-P-2550	0		0		0		2.5		1.5		2.5		1		1		-0.04		0		32		0		0		0		
豆粕		m1708-P-2600	6.5		6.5		6.5		6.5		4		6		2.5		2		-0.07		60		236		40		0.39		0		
豆粕		m1708-P-2650	0		0		0		11.5		8		11.5		3.5		3.5		-0.13		0		176		0		0		0		
豆粕		m1708-P-2700	0		0		0		20.5		14.5		20.5		6		6		-0.2		0		158		0		0		0		
豆粕		m1708-P-2750	30.5		30.5		30.5		30.5		24.5		34		6		9.5		-0.3		2		96		-2		0.06		0		
豆粕		m1708-P-2800	0		0		0		52.5		39.5		52.5		13		13		-0.41		0		210		0		0		0		
豆粕		m1708-P-2850	74.5		75.5		74.5		75.5		59.5		77		16		17.5		-0.52		40		134		0		3		0		
豆粕		m1708-P-2900	0		0		0		107		85		107		22		22		-0.63		0		140		0		0		0		
豆粕		m1708-P-2950	0		0		0		142.5		116		142.5		26.5		26.5		-0.73		0		100		0		0		0		
豆粕		m1708-P-3000	0		0		0		182		151.5		182		30.5		30.5		-0.81		0		78		0		0		0		
豆粕		m1708-P-3050	0		0		0		225		191		225		34		34		-0.88		0		44		0		0		0		
豆粕		m1708-P-3100	0		0		0		270.5		234.5		270.5		36		36		-0.92		0		2		0		0		0		
豆粕		m1709-C-2500	322		330.5		319.5		324		345		321		-21		-24		0.95		274		1,412		-24		88.88		0		
豆粕		m1709-C-2550	274.5		282.5		269		278		298.5		275.5		-20.5		-23		0.91		198		898		16		54.72		0		
豆粕		m1709-C-2600	232		240		225		232.5		254		232		-21.5		-22		0.86		370		1,074		-18		86.31		0		
豆粕		m1709-C-2650	188.5		196.5		182		190		212		191.5		-22		-20.5		0.8		270		974		26		51.07		0		
豆粕		m1709-C-2700	148		157.5		145		151.5		173.5		154.5		-22		-19		0.72		436		1,254		162		66.12		0		
豆粕		m1709-C-2750	119		123		112.5		117.5		138.5		122		-21		-16.5		0.64		690		3,288		26		81.78		0		
豆粕		m1709-C-2800	90.5		95		87.5		91		108.5		94		-17.5		-14.5		0.55		1,938		3,546		714		176.17		0		
豆粕		m1709-C-2850	74		74		66		69		82.5		70.5		-13.5		-12		0.45		2,488		8,182		660		174.4		0		
豆粕		m1709-C-2900	52		56		50.5		53		61.5		51.5		-8.5		-10		0.36		1,626		6,832		-92		86.91		0		
豆粕		m1709-C-2950	41.5		42.5		39		41.5		44.5		36.5		-3		-8		0.28		1,402		6,092		524		57.72		0		
豆粕		m1709-C-3000	33		35		32		33.5		31.5		25.5		2		-6		0.22		762		10,782		74		25.55		0		
豆粕		m1709-C-3050	25		26.5		25		25		21.5		17		3.5		-4.5		0.16		378		4,400		-2		9.82		0		
豆粕		m1709-C-3100	18.5		20.5		18		20		14.5		11		5.5		-3.5		0.11		280		3,380		64		5.49		0		
豆粕		m1709-P-2500	6.5		7.5		6.5		6.5		4		5		2.5		1		-0.05		598		2,540		226		4.16		0		
豆粕		m1709-P-2550	10.5		10.5		9.5		9.5		7		9		2.5		2		-0.09		330		2,458		116		3.27		0		
豆粕		m1709-P-2600	16.5		16.5		14.5		14.5		12.5		15.5		2		3		-0.14		334		5,100		-122		5.12		0		
豆粕		m1709-P-2650	22.5		23.5		21		21.5		20.5		25		1		4.5		-0.2		974		3,980		288		21.81		0		
豆粕		m1709-P-2700	33.5		35		32.5		32.5		32		38		0.5		6		-0.28		1,036		4,908		58		35.24		0		
豆粕		m1709-P-2750	49		52.5		48		49.5		47		55.5		2.5		8.5		-0.36		1,284		5,624		288		64.87		0		
豆粕		m1709-P-2800	70		76.5		69		72		66.5		77		5.5		10.5		-0.45		2,628		4,588		270		193.89		0		
豆粕		m1709-P-2850	94.5		106.5		94.5		100.5		90.5		103.5		10		13		-0.54		1,934		4,486		-88		195.7		1		
豆粕		m1709-P-2900	134		141		130.5		134.5		119.5		134.5		15		15		-0.63		504		1,062		-162		68.37		0		
豆粕		m1709-P-2950	174.5		178		168		172		152.5		169.5		19.5		17		-0.71		300		778		-16		52.03		0		
豆粕		m1709-P-3000	215.5		218		208.5		213.5		189		208		24.5		19		-0.78		266		1,032		-54		56.68		0		
豆粕		m1709-P-3050	259		261		252.5		257		229		249.5		28		20.5		-0.84		246		644		-32		63.45		0		
豆粕		m1709-P-3100	300		308		295.5		300		272		293.5		28		21.5		-0.89		282		916		-36		84.71		0		
豆粕		m1711-C-2550	0		0		0		295		314.5		295		-19.5		-19.5		0.86		0		12		0		0		0		
豆粕		m1711-C-2600	0		0		0		255		273		255		-18		-18		0.81		0		40		0		0		0		
豆粕		m1711-C-2650	0		0		0		217		234.5		217		-17.5		-17.5		0.75		0		88		0		0		0		
豆粕		m1711-C-2700	0		0		0		183		198.5		183		-15.5		-15.5		0.69		0		134		0		0		0		
豆粕		m1711-C-2750	0		0		0		151.5		166		151.5		-14.5		-14.5		0.62		0		116		0		0		0		
豆粕		m1711-C-2800	129.5		129.5		125.5		125.5		137		124		-11.5		-13		0.55		40		198		0		5.1		0		
豆粕		m1711-C-2850	97		97		97		97		111.5		100.5		-14.5		-11		0.48		20		82		0		1.94		0		
豆粕		m1711-C-2900	82.5		82.5		80.5		80.5		89.5		80		-9		-9.5		0.41		40		104		20		3.26		0		
