商品名称	合约名称	开盘价		最高价		最低价		收盘价		前结算价	结算价		涨跌		涨跌1		Delta		成交量		持仓量		持仓量变化	成交额		行权量		
豆粕		m1708-C-2400	0		0		0		241		269		241		-28		-28		1		0		0		0		0		0		
豆粕		m1708-C-2450	0		0		0		191.5		219		191.5		-27.5		-27.5		0.98		0		40		0		0		0		
豆粕		m1708-C-2500	145		145		145		145		170		144		-25		-26		0.93		2		52		-2		0.29		0		
豆粕		m1708-C-2550	95.5		95.5		95.5		95.5		123.5		100.5		-28		-23		0.83		20		82		20		1.91		0		
豆粕		m1708-C-2600	55		55		55		55		81.5		63.5		-26.5		-18		0.67		30		218		10		1.74		0		
豆粕		m1708-C-2650	0		0		0		36		48		36		-12		-12		0.47		0		140		0		0		0		
豆粕		m1708-C-2700	0		0		0		18		25		18		-7		-7		0.29		0		282		0		0		0		
豆粕		m1708-C-2750	5		6		5		6		11		7.5		-5		-3.5		0.15		8		358		2		0.05		0		
豆粕		m1708-C-2800	0		0		0		2.5		4		2.5		-1.5		-1.5		0.06		0		426		0		0		0		
豆粕		m1708-C-2850	5		5		0.5		0.5		1		0.5		-0.5		-0.5		0.02		30		514		-4		0.11		0		
豆粕		m1708-C-2900	0		0		0		0.5		0.5		0.5		0		0		0.01		0		306		0		0		0		
豆粕		m1708-C-2950	2		2		2		2		0.5		0.5		1.5		0		0.01		44		274		0		0.09		0		
豆粕		m1708-C-3000	0		0		0		0.5		0.5		0.5		0		0		0.01		0		308		0		0		0		
豆粕		m1708-C-3050	0		0		0		0.5		0.5		0.5		0		0		0.01		0		312		0		0		0		
豆粕		m1708-C-3100	0		0		0		0.5		0.5		0.5		0		0		0.01		0		342		0		0		0		
豆粕		m1708-P-2400	0		0		0		0.5		0.5		0.5		0		0		-0.01		0		66		0		0		0		
豆粕		m1708-P-2450	0		0		0		0.5		0.5		0.5		0		0		-0.02		0		84		0		0		0		
豆粕		m1708-P-2500	0		0		0		3		1		3		2		2		-0.07		0		560		0		0		0		
豆粕		m1708-P-2550	4		9		4		4.5		4.5		9.5		0		5		-0.17		92		610		92		0.42		0		
豆粕		m1708-P-2600	16		17.5		16		17.5		12.5		22.5		5		10		-0.33		10		728		2		0.16		0		
豆粕		m1708-P-2650	0		0		0		45		29.5		45		15.5		15.5		-0.53		8		520		-8		0.36		0		
豆粕		m1708-P-2700	76		77		76		77		56		77		21		21		-0.71		40		230		0		3.06		0		
豆粕		m1708-P-2750	0		0		0		116.5		92		116.5		24.5		24.5		-0.85		0		122		0		0		0		
豆粕		m1708-P-2800	0		0		0		161.5		135		161.5		26.5		26.5		-0.94		0		176		0		0		0		
豆粕		m1708-P-2850	0		0		0		210		182		210		28		28		-0.98		0		170		0		0		0		
豆粕		m1708-P-2900	0		0		0		259.5		231.5		259.5		28		28		-0.91		0		136		0		0		0		
豆粕		m1708-P-2950	0		0		0		309		281		309		28		28		-1		0		96		0		0		0		
豆粕		m1708-P-3000	0		0		0		359		331		359		28		28		-1		0		60		0		0		0		
豆粕		m1708-P-3050	0		0		0		409		381		409		28		28		-1		0		42		0		0		0		
豆粕		m1708-P-3100	0		0		0		459		431		459		28		28		-1		0		2		0		0		0		
豆粕		m1709-C-2400	258		263		239		249		276.5		250		-27.5		-26.5		0.94		192		616		74		47.8		2		
豆粕		m1709-C-2450	212		215.5		193.5		199.5		230.5		205		-31		-25.5		0.89		170		552		38		34.34		0		
豆粕		m1709-C-2500	167.5		168.5		148.5		157		186.5		163		-29.5		-23.5		0.82		264		994		66		41.57		0		
豆粕		m1709-C-2550	125		129		110.5		118		146.5		125.5		-28.5		-21		0.73		344		1,042		64		39.83		0		
豆粕		m1709-C-2600	91.5		94.5		79		85		111		93		-26		-18		0.62		472		1,608		178		39.39		0		
豆粕		m1709-C-2650	64		68		55.5		60.5		81.5		66.5		-21		-15		0.5		1,198		3,268		274		72.72		0		
豆粕		m1709-C-2700	45.5		47.5		38.5		42		57		45.5		-15		-11.5		0.39		1,016		5,434		158		43.22		0		
豆粕		m1709-C-2750	32		34		28		30		38.5		29.5		-8.5		-9		0.29		1,106		7,620		588		34.18		0		
豆粕		m1709-C-2800	22.5		24		20		21.5		25		18.5		-3.5		-6.5		0.2		660		7,326		142		14.22		0		
豆粕		m1709-C-2850	16.5		17.5		15		16.5		15.5		11		1		-4.5		0.13		1,286		14,112		668		20.94		0		
豆粕		m1709-C-2900	12.5		13		11		12.5		9		6		3.5		-3		0.08		626		8,144		92		7.38		0		
豆粕		m1709-C-2950	9		9		8		9		5		3.5		4		-1.5		0.05		332		6,694		-56		2.84		0		
豆粕		m1709-C-3000	7.5		8		7		7.5		2.5		1.5		5		-1		0.02		650		11,118		122		4.7		0		
豆粕		m1709-C-3050	5		5.5		4		5		1		0.5		4		-0.5		0.01		598		3,944		-104		3.1		0		
豆粕		m1709-C-3100	3.5		4.5		3		4		0.5		0.5		3.5		0		0.01		412		5,700		30		1.53		0		
