商品名称	合约名称	开盘价		最高价		最低价		收盘价		前结算价	结算价		涨跌		涨跌1		Delta		成交量		持仓量		持仓量变化	成交额		行权量		
豆粕		m1708-C-2400	0		0		0		293.5		280		293.5		13.5		13.5		0.99		0		0		0		0		0		
豆粕		m1708-C-2450	0		0		0		245.5		230.5		245.5		15		15		0.96		0		20		0		0		0		
豆粕		m1708-C-2500	0		0		0		199.5		183		199.5		16.5		16.5		0.91		0		46		0		0		0		
豆粕		m1708-C-2550	0		0		0		156.5		138.5		156.5		18		18		0.84		0		40		0		0		0		
豆粕		m1708-C-2600	105		105		105		105		98.5		118		6.5		19.5		0.74		20		138		0		2.1		0		
豆粕		m1708-C-2650	73.5		73.5		71		71		65.5		84.5		5.5		19		0.62		40		154		20		2.89		0		
豆粕		m1708-C-2700	46		46		46		46		40		58		6		18		0.49		20		240		0		0.92		0		
豆粕		m1708-C-2750	23		26.5		22		26.5		22.5		37.5		4		15		0.37		16		250		16		0.37		0		
豆粕		m1708-C-2800	17.5		17.5		17		17		11.5		23		5.5		11.5		0.26		32		392		-8		0.55		0		
豆粕		m1708-C-2850	8.5		10.5		8.5		10.5		5		13.5		5.5		8.5		0.17		16		494		-4		0.16		0		
豆粕		m1708-C-2900	4		8.5		4		6.5		2		7		4.5		5		0.1		18		294		0		0.11		0		
豆粕		m1708-C-2950	4		6.5		4		6.5		0.5		3.5		6		3		0.06		10		308		0		0.05		0		
豆粕		m1708-C-3000	0		0		0		1.5		0.5		1.5		1		1		0.03		0		266		0		0		0		
豆粕		m1708-C-3050	0		0		0		0.5		0.5		0.5		0		0		0.01		0		346		0		0		0		
豆粕		m1708-C-3100	1		1		1		1		0.5		0.5		0.5		0		0.01		22		312		-18		0.02		0		
豆粕		m1708-P-2400	0		0		0		1		0.5		1		0.5		0.5		-0.02		0		2		0		0		0		
豆粕		m1708-P-2450	13.5		13.5		2		2		1		3		1		2		-0.05		110		82		80		1.12		0		
豆粕		m1708-P-2500	0		0		0		6.5		3		6.5		3.5		3.5		-0.09		0		564		0		0		0		
豆粕		m1708-P-2550	5.5		5.5		5.5		5.5		8.5		13.5		-3		5		-0.16		30		84		30		0.17		0		
豆粕		m1708-P-2600	12		12		11.5		11.5		18.5		25		-7		6.5		-0.26		8		340		-4		0.09		0		
豆粕		m1708-P-2650	0		0		0		42		35.5		42		6.5		6.5		-0.38		0		276		0		0		0		
豆粕		m1708-P-2700	49		49		49		49		60		65		-11		5		-0.51		2		230		0		0.1		0		
豆粕		m1708-P-2750	0		0		0		94.5		92.5		94.5		2		2		-0.63		0		122		0		0		0		
