商品名称	合约名称	开盘价		最高价		最低价		收盘价		前结算价	结算价		涨跌		涨跌1		Delta		成交量		持仓量		持仓量变化	成交额		行权量		
豆粕		m1708-C-2400	0		0		0		355		251		355		104		104		1		0		2		0		0		0		
豆粕		m1708-C-2450	0		0		0		305		201		305		104		104		1		0		40		0		0		0		
豆粕		m1708-C-2500	0		0		0		255		151		255		104		104		1		0		32		0		0		0		
豆粕		m1708-C-2550	219.5		219.5		133		133.5		102.5		205		31		102.5		1		50		112		30		8.39		0		
豆粕		m1708-C-2600	0		0		0		155		59.5		155		95.5		95.5		1		0		164		0		0		0		
豆粕		m1708-C-2650	26		130		25.5		130		27		107		103		80		0.94		108		194		-40		5.53		0		
豆粕		m1708-C-2700	8		74.5		8		74.5		9		64		65.5		55		0.78		50		452		-2		2.03		0		
豆粕		m1708-C-2750	10		77		10		40.5		2		31.5		38.5		29.5		0.53		390		412		16		12.18		0		
豆粕		m1708-C-2800	1.5		18		1.5		17		0.5		12		16.5		11.5		0.27		212		486		32		1.9		0		
豆粕		m1708-C-2850	2		4.5		1		3		0.5		3		2.5		2.5		0.09		114		530		12		0.3		0		
豆粕		m1708-C-2900	2		2		1		1		0.5		0.5		0.5		0		0.02		12		184		-2		0.02		0		
豆粕		m1708-C-2950	33		33		0.5		0.5		0.5		0.5		0		0		0.02		220		478		200		0.76		0		
豆粕		m1708-C-3000	1		1		0.5		0.5		0.5		0.5		0		0		0.01		86		294		6		0.05		0		
豆粕		m1708-C-3050	0.5		0.5		0.5		0.5		0.5		0.5		0		0		0.01		4		308		-4		0		0		
豆粕		m1708-C-3100	0		0		0		0.5		0.5		0.5		0		0		0.01		0		342		0		0		0		
豆粕		m1708-P-2400	0		0		0		0.5		0.5		0.5		0		0		-0.01		0		68		0		0		0		
豆粕		m1708-P-2450	0		0		0		0.5		0.5		0.5		0		0		-0.01		0		84		0		0		0		
豆粕		m1708-P-2500	0		0		0		0.5		0.5		0.5		0		0		-0.01		0		598		0		0		0		
豆粕		m1708-P-2550	1.5		1.5		0.5		0.5		1.5		0.5		-1		-1		-0.01		88		684		32		0.09		0		
豆粕		m1708-P-2600	4		7.5		0.5		0.5		8.5		0.5		-8		-8		-0.02		180		776		0		0.48		0		
豆粕		m1708-P-2650	13.5		13.5		0.5		4		26		2		-22		-24		-0.06		50		432		-14		0.11		0		
豆粕		m1708-P-2700	6		6		4.5		4.5		58		9		-53.5		-49		-0.22		62		226		-16		0.44		0		
豆粕		m1708-P-2750	9.5		10		8		9		101		26.5		-92		-74.5		-0.47		102		202		78		0.96		0		
豆粕		m1708-P-2800	20		40		20		30		149.5		57		-119.5		-92.5		-0.73		92		140		-16		3.59		0		
豆粕		m1708-P-2850	81		81		77		77		199		98.5		-122		-100.5		-0.9		42		90		-40		3.67		0		
豆粕		m1708-P-2900	126		126		126		126		249		145.5		-123		-103.5		-0.99		46		110		-6		6.3		0		
豆粕		m1708-P-2950	167		167		167		167		299		195		-132		-104		-1		12		96		0		2		0		
豆粕		m1708-P-3000	232.5		232.5		232.5		232.5		349		245		-116.5		-104		-1		12		72		12		2.79		0		
豆粕		m1708-P-3050	278		278		278		278		399		295		-121		-104		-1		4		42		0		1.11		0		
豆粕		m1708-P-3100	0		0		0		345		449		345		-104		-104		-1		0		2		0		0		0		
豆粕		m1709-C-2400	259		381		259		377		268		350		109		82		1		472		466		-102		159.46		0		
豆粕		m1709-C-2450	215		335.5		215		331.5		222		301.5		109.5		79.5		0.97		196		566		-48		63.2		0		
