商品名称	合约名称	开盘价		最高价		最低价		收盘价		前结算价	结算价		涨跌		涨跌1		Delta		成交量		持仓量		持仓量变化	成交额		行权量		
豆粕		m1707-C-2550	220.5		220.5		199.5		199.5		225.5		207		-26		-18.5		0.94		176		154		38		36.11		0		
豆粕		m1707-C-2600	172		172		154.5		156		179.5		162		-23.5		-17.5		0.88		96		216		0		15.63		0		
豆粕		m1707-C-2650	132		132		110.5		110.5		137.5		120.5		-27		-17		0.79		222		242		46		26.43		0		
豆粕		m1707-C-2700	93		93.5		76.5		78		100.5		85		-22.5		-15.5		0.66		476		332		94		40.47		0		
豆粕		m1707-C-2750	63.5		63.5		49		49		69.5		56.5		-20.5		-13		0.52		410		332		-2		22.89		0		
豆粕		m1707-C-2800	42.5		42.5		31		31.5		45		35		-13.5		-10		0.38		640		656		188		22.57		0		
豆粕		m1707-C-2850	25		25		17.5		17.5		27.5		20.5		-10		-7		0.25		340		928		110		6.97		0		
豆粕		m1707-C-2900	16		16		10		10.5		16		11		-5.5		-5		0.16		248		870		140		3.18		0		
豆粕		m1707-C-2950	10		10		5		5.5		8.5		5.5		-3		-3		0.09		524		1,128		-4		3.44		0		
豆粕		m1707-C-3000	5.5		5.5		3.5		4		4		2.5		0		-1.5		0.05		154		450		34		0.7		0		
豆粕		m1707-C-3050	3.5		3.5		2.5		3		2		1		1		-1		0.02		166		568		116		0.45		0		
豆粕		m1707-P-2550	4		4		2.5		4		3		3.5		1		0.5		-0.06		178		486		64		0.62		0		
豆粕		m1707-P-2600	5.5		8.5		5.5		8.5		7		8		1.5		1		-0.12		166		578		6		1.27		0		
豆粕		m1707-P-2650	12.5		19		12.5		16.5		15		17		1.5		2		-0.21		322		1,160		32		5.06		0		
豆粕		m1707-P-2700	26		33		26		31		27.5		31.5		3.5		4		-0.34		712		708		122		21.26		0		
豆粕		m1707-P-2750	46		56.5		46		52.5		46.5		52.5		6		6		-0.48		852		486		-248		44.48		0		
豆粕		m1707-P-2800	79		86.5		79		85		72		81		13		9		-0.62		296		318		-12		24.22		0		
豆粕		m1707-P-2850	109		122.5		108		121.5		104.5		116		17		11.5		-0.75		228		214		16		26.1		0		
豆粕		m1707-P-2900	146		162		145		161.5		142.5		156.5		19		14		-0.84		168		228		-6		26.42		0		
豆粕		m1707-P-2950	192.5		206.5		192.5		206.5		185		201		21.5		16		-0.91		310		156		14		62.37		0		
豆粕		m1707-P-3000	235		251.5		235		251.5		231		248		20.5		17		-0.96		52		194		-6		12.87		0		
豆粕		m1707-P-3050	302.5		307		298.5		306.5		278.5		296.5		28		18		-1		106		358		-8		31.78		0		
豆粕		m1708-C-2550	0		0		0		212.5		238.5		212.5		-26		-26		0.88		0		0		0		0		0		
豆粕		m1708-C-2600	167		167		167		167		197.5		171		-30.5		-26.5		0.81		2		28		2		0.33		0		
