商品名称	合约名称	开盘价		最高价		最低价		收盘价		前结算价	结算价		涨跌		涨跌1		Delta		成交量		持仓量		持仓量变化	成交额		行权量		
豆粕		m1707-C-2500	379.5		379.5		368		368		365		373		3		8		1		118		262		-26		44.32		3		
豆粕		m1707-C-2550	323.5		323.5		318.5		318.5		315		323		3.5		8		1		8		262		0		2.57		2		
豆粕		m1707-C-2600	281		281		273		273.5		265.5		273		8		7.5		1		88		328		-6		24.39		0		
豆粕		m1707-C-2650	227		230.5		218		218		217.5		224.5		0.5		7		0.97		40		324		16		9.11		0		
豆粕		m1707-C-2700	183.5		185		171.5		171.5		172		177.5		-0.5		5.5		0.92		50		324		14		8.82		0		
豆粕		m1707-C-2750	139		144		127		130.5		130		134		0.5		4		0.84		154		412		50		20.98		0		
豆粕		m1707-C-2800	100		102.5		88		88		93.5		95.5		-5.5		2		0.72		212		680		-50		20.35		0		
豆粕		m1707-C-2850	62.5		67		54.5		59		63.5		64		-4.5		0.5		0.58		226		1,112		-30		13.9		0		
豆粕		m1707-C-2900	37.5		39.5		33		35		40.5		40		-5.5		-0.5		0.43		310		1,360		-52		11.47		0		
豆粕		m1707-C-2950	22		23.5		19.5		19.5		24		23		-4.5		-1		0.29		106		1,356		22		2.17		0		
豆粕		m1707-C-3000	13.5		14		12		13.5		13.5		12		0		-1.5		0.18		58		790		20		0.75		0		
豆粕		m1707-C-3050	7		8.5		7		8		6.5		5.5		1.5		-1		0.09		32		1,132		-14		0.25		0		
豆粕		m1707-C-3100	5		5		4.5		4.5		3		2.5		1.5		-0.5		0.05		32		420		-10		0.15		0		
豆粕		m1707-P-2500	1		1		1		1		0.5		0.5		0.5		0		-0.01		32		500		12		0.03		0		
豆粕		m1707-P-2550	1		1.5		1		1.5		0.5		0.5		1		0		-0.01		12		768		8		0.01		0		
豆粕		m1707-P-2600	2		2.5		2		2		1		0.5		1		-0.5		-0.01		80		864		72		0.19		0		
豆粕		m1707-P-2650	3		3.5		3		3.5		3		1.5		0.5		-1.5		-0.03		64		1,270		-20		0.21		0		
豆粕		m1707-P-2700	6.5		6.5		6		6		7.5		5		-1.5		-2.5		-0.08		74		1,198		-44		0.48		0		
豆粕		m1707-P-2750	10		11.5		9.5		11		15.5		11.5		-4.5		-4		-0.16		330		1,586		-182		3.36		0		
豆粕		m1707-P-2800	17.5		21		17.5		20.5		28.5		23		-8		-5.5		-0.28		60		1,668		22		1.13		0		
豆粕		m1707-P-2850	32.5		37		31		36.5		48.5		41		-12		-7.5		-0.42		458		836		296		15.1		0		
豆粕		m1707-P-2900	58		64.5		55		63		75.5		67		-12.5		-8.5		-0.57		256		378		26		15.43		0		
豆粕		m1707-P-2950	90.5		103.5		90.5		102.5		109		100		-6.5		-9		-0.71		124		318		-6		12.03		0		
